Date,Open,High,Low,Close,Volume,Trade_count,vwap
2021-11-04 20:25:00+00:00,151.06,151.08,150.98,151.0,5368,227,151.025511
2021-11-04 20:30:00+00:00,151.0,151.0,150.98,151.0,7654,230,150.993788
2021-11-04 20:35:00+00:00,151.0,151.0,150.96,151.0,118632,169,150.962199
2021-11-04 20:40:00+00:00,151.0,151.0,150.94,150.94,6813,645,150.964182
2021-11-04 20:45:00+00:00,150.9401,150.98,150.94,150.95,6781,175,150.956434
2021-11-04 20:50:00+00:00,150.9799,150.99,150.94,150.99,17188,142,150.956856
2021-11-04 20:55:00+00:00,150.99,151.01,150.98,150.98,3782,178,150.993234
2021-11-04 21:00:00+00:00,151.01,151.03,150.99,150.99,4977,143,151.007994
2021-11-04 21:05:00+00:00,150.99,150.99,150.95,150.95,5378,219,149.503404
2021-11-04 21:10:00+00:00,150.95,150.96,150.93,150.96,6721,320,150.937849
2021-11-04 21:15:00+00:00,150.96,150.96,150.92,150.9301,5976,200,150.93517
2021-11-04 21:20:00+00:00,150.9399,150.9399,150.9101,150.9101,5832,200,150.925172
2021-11-04 21:25:00+00:00,150.91,150.9101,150.86,150.86,8986,251,150.897386
2021-11-04 21:30:00+00:00,150.9,150.9,150.87,150.87,4984,182,150.888321
2021-11-04 21:35:00+00:00,150.9,150.93,150.88,150.8801,6519,98,150.9008
2021-11-04 21:40:00+00:00,150.88,150.89,150.88,150.89,3076,181,150.885665
2021-11-04 21:45:00+00:00,150.9,150.92,150.9,150.92,3851,163,150.909634
2021-11-04 21:55:00+00:00,150.89,150.89,150.89,150.89,801,35,150.892865
2021-11-04 22:00:00+00:00,150.92,150.92,150.92,150.92,780,16,150.920667
2021-11-04 22:05:00+00:00,150.92,150.92,150.92,150.92,337,5,150.918042
2021-11-04 22:10:00+00:00,150.94,150.94,150.93,150.94,592,13,150.935422
2021-11-04 22:15:00+00:00,150.94,150.94,150.92,150.92,1524,21,150.933176
2021-11-04 22:20:00+00:00,150.94,150.94,150.93,150.93,1028,18,150.930195
2021-11-04 22:25:00+00:00,150.94,151.03,150.94,151.03,5433,126,150.974861
2021-11-04 22:30:00+00:00,150.98,150.98,150.97,150.9701,1001,20,150.972228
2021-11-04 22:35:00+00:00,151.49,151.49,150.98,151.01,56213,31,151.473071
2021-11-04 22:40:00+00:00,150.98,151.0,150.97,150.99,3914,25,150.990866
2021-11-04 22:45:00+00:00,150.9999,151.0,150.9999,151.0,1227,17,150.997152
2021-11-04 22:50:00+00:00,151.0,151.02,150.98,150.98,2007,32,150.990081
2021-11-04 22:55:00+00:00,151.0099,151.0099,150.97,150.99,2211,19,150.983388
2021-11-04 23:00:00+00:00,150.99,150.99,150.98,150.99,1100,23,150.986464
2021-11-04 23:05:00+00:00,150.98,151.0,150.98,150.99,2212,27,150.991157
2021-11-04 23:10:00+00:00,150.99,150.99,150.98,150.98,613,7,150.981484
2021-11-04 23:15:00+00:00,150.99,150.99,150.98,150.98,643,11,150.985086
2021-11-04 23:20:00+00:00,151.0,151.0,150.97,150.97,2069,19,150.974606
2021-11-04 23:25:00+00:00,150.98,150.99,150.98,150.98,1362,14,150.983253
2021-11-04 23:30:00+00:00,150.98,150.99,150.98,150.99,4423,22,150.985223
2021-11-04 23:35:00+00:00,150.98,150.99,150.97,150.97,5087,27,150.979918
2021-11-04 23:40:00+00:00,150.96,150.97,150.93,150.95,2950,38,150.947693
2021-11-04 23:45:00+00:00,150.91,150.95,150.9,150.92,6907,68,150.915609
2021-11-04 23:50:00+00:00,150.92,150.92,150.89,150.89,2065,30,150.905322
2021-11-04 23:55:00+00:00,150.9,150.98,150.89,150.95,8359,79,150.920926
2021-11-05 08:00:00+00:00,150.94,151.12,150.65,151.12,2807,141,150.972743
2021-11-05 08:05:00+00:00,151.05,151.05,150.82,150.82,1950,91,150.968272
2021-11-05 08:10:00+00:00,150.97,150.97,150.72,150.74,1652,51,150.821804
2021-11-05 08:15:00+00:00,150.87,150.87,150.8,150.85,1695,50,150.831191
2021-11-05 08:20:00+00:00,150.81,150.85,150.7,150.7,1368,63,150.798969
2021-11-05 08:25:00+00:00,150.74,150.88,150.74,150.78,1261,43,150.821039
2021-11-05 08:30:00+00:00,150.73,150.73,150.72,150.72,606,25,150.727112
2021-11-05 08:35:00+00:00,150.7,150.7,150.66,150.7,1229,55,150.690008
2021-11-05 08:40:00+00:00,150.66,150.66,150.64,150.64,2285,72,150.64979
2021-11-05 08:45:00+00:00,150.6,150.6,150.55,150.55,507,29,150.57213
2021-11-05 08:50:00+00:00,150.59,150.66,150.55,150.65,1893,51,150.585605
2021-11-05 08:55:00+00:00,150.71,150.75,150.71,150.75,1354,46,150.72949
2021-11-05 09:00:00+00:00,150.69,150.75,150.69,150.71,1322,65,150.720575
2021-11-05 09:05:00+00:00,150.69,150.69,150.66,150.66,2973,35,150.662734
2021-11-05 09:15:00+00:00,150.73,150.8,150.73,150.8,1042,36,150.792485
2021-11-05 09:20:00+00:00,150.83,150.83,150.8,150.8,927,21,150.807756
2021-11-05 09:25:00+00:00,150.81,150.81,150.78,150.78,476,24,150.799958
2021-11-05 09:30:00+00:00,150.9,150.95,150.89,150.95,1009,36,150.929039
2021-11-05 09:35:00+00:00,150.91,150.99,150.9,150.99,4057,113,150.935319
2021-11-05 09:40:00+00:00,150.98,150.99,150.98,150.99,1041,16,150.979183
2021-11-05 09:45:00+00:00,150.96,151.03,150.96,151.03,1091,40,150.991329
2021-11-05 09:50:00+00:00,151.0,151.01,151.0,151.01,1550,39,151.007277
2021-11-05 09:55:00+00:00,151.05,151.1,151.04,151.04,2374,78,151.073606
2021-11-05 10:00:00+00:00,151.06,151.25,151.06,151.25,2821,71,151.126647
2021-11-05 10:05:00+00:00,151.25,151.35,151.25,151.35,2046,59,151.289438
2021-11-05 10:10:00+00:00,151.37,151.39,151.37,151.39,857,42,151.375507
2021-11-05 10:15:00+00:00,151.39,151.42,151.29,151.29,5498,107,151.393723
2021-11-05 10:20:00+00:00,151.36,151.39,151.36,151.39,1201,50,151.360583
2021-11-05 10:25:00+00:00,151.42,151.42,151.42,151.42,613,34,151.422594
2021-11-05 10:30:00+00:00,151.43,151.43,151.35,151.35,1668,59,151.401211
2021-11-05 10:35:00+00:00,151.4,151.4,151.4,151.4,1143,18,151.396964
2021-11-05 10:40:00+00:00,151.35,151.35,151.35,151.35,1055,46,151.351261
2021-11-05 10:45:00+00:00,151.25,151.25,151.25,151.25,332,31,151.249488
2021-11-05 10:50:00+00:00,151.23,151.23,151.23,151.23,1176,39,151.238912
2021-11-05 10:55:00+00:00,151.26,151.27,151.26,151.27,1135,41,151.26074
2021-11-05 11:00:00+00:00,151.24,151.33,151.19,151.19,19715,277,151.25162
2021-11-05 11:05:00+00:00,151.15,151.15,151.11,151.13,3405,70,151.134317
2021-11-05 11:10:00+00:00,151.14,151.18,151.14,151.14,9523,65,151.148995
2021-11-05 11:15:00+00:00,151.1,151.15,151.07,151.15,1954,88,151.115466
2021-11-05 11:20:00+00:00,151.12,151.12,151.0,151.02,12720,280,151.035501
2021-11-05 11:25:00+00:00,151.04,151.04,150.92,150.92,9290,152,150.96133
2021-11-05 11:30:00+00:00,150.91,151.07,150.82,151.05,20273,335,150.935359
2021-11-05 11:35:00+00:00,151.05,151.05,151.03,151.03,4186,147,151.035334
2021-11-05 11:40:00+00:00,151.0,151.03,150.96,151.03,7034,152,150.992176
2021-11-05 11:45:00+00:00,151.04,151.06,151.01,151.06,5889,144,151.037171
2021-11-05 11:50:00+00:00,151.05,151.06,151.04,151.06,886,31,151.051896
2021-11-05 11:55:00+00:00,151.06,151.12,151.06,151.12,5852,106,151.081099
